m_id,n,ns_per_op,it_setup,fork_setup,it_pos,fork_pos,b_name
53,29475.0,158.90558100084817,20,3,14,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV3
54,29427.0,161.21429299622795,20,3,15,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV3
55,29421.0,159.31324564086876,20,3,16,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV3
56,29401.0,158.47862317608244,20,3,17,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV3
57,29402.0,161.02928372219577,20,3,18,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV3
58,29393.0,160.24029530840676,20,3,19,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV3
59,29400.0,159.31697278911565,20,3,20,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV3
60,25183.0,331.4933486876067,20,3,1,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
61,25216.0,330.6965418781726,20,3,2,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
62,25177.0,331.55328275807284,20,3,3,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
63,25209.0,331.9392677218454,20,3,4,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
64,25232.0,335.2470275840203,20,3,5,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
65,25197.0,332.9094336627376,20,3,6,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
66,25168.0,331.3863636363636,20,3,7,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
67,25010.0,334.5631347461016,20,3,8,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
68,24909.0,333.7830503031033,20,3,9,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
69,25027.0,337.9349902105726,20,3,10,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
70,24995.0,333.0149629925985,20,3,11,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
71,25306.0,331.6971864379989,20,3,12,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
72,25147.0,336.6938004533344,20,3,13,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
73,25164.0,333.87732474964236,20,3,14,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
74,25159.0,332.56762987400134,20,3,15,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
75,25145.0,339.7751441638497,20,3,16,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
76,25110.0,331.12082835523694,20,3,17,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
77,25155.0,333.3049890677798,20,3,18,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
78,25031.0,333.30526147577007,20,3,19,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
79,25188.0,331.0680879784024,20,3,20,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params
80,33914.0,254.40788464940732,20,3,1,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV2
81,33995.0,253.52116487718783,20,3,2,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV2
82,33759.0,261.75727954027076,20,3,3,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV2
83,33809.0,259.57280605755864,20,3,4,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV2
