,Mean (CV),Mean (RCIW_1),Mean (RCIW_2),Median (RCIW_3),Median (RMAD)
Mean (CV),0.0,-0.11983471074380166,0.012396694214876033,-0.12396694214876033,-0.34297520661157027
Mean (RCIW_1),0.11983471074380166,0.0,0.12190082644628099,0.024793388429752067,-0.17768595041322313
Mean (RCIW_2),-0.012396694214876033,-0.12190082644628099,0.0,-0.13636363636363635,-0.2975206611570248
Median (RCIW_3),0.12396694214876033,-0.024793388429752067,0.13636363636363635,0.0,-0.25206611570247933
Median (RMAD),0.34297520661157027,0.17768595041322313,0.2975206611570248,0.25206611570247933,0.0
