Project,Method,Max Time in s,Max Time in h,Min Time in s,Min Time in h,Time Saved,Time Saved %,Fraction of leq 0.01 change,Fraction of leq 0.03 change,Fraction of leq 0.05 change,Fraction of leq 0.1 change,CI Lower Dev,CI Upper Dev
zap-v1.21.0,cv__mean__ci_bootstrap_mean_p,1650,0.4583333333333333,554,0.15388888888888888,1096,0.6642424242424242,0.8636363636363636,0.9090909090909091,0.9090909090909091,1.0,0.1369972777224677,0.0868170913157684
zap-v1.21.0,rciw_mean_p__mean__ci_bootstrap_mean_p,1650,0.4583333333333333,525,0.14583333333333334,1125,0.6818181818181818,0.8181818181818182,0.9545454545454546,1.0,1.0,0.1124175338375358,0.0458273364232733
zap-v1.21.0,rciw_mean_t__mean__ci_bootstrap_mean_t,1650,0.4583333333333333,526,0.14611111111111114,1124,0.6812121212121212,0.8636363636363636,0.9090909090909091,0.9090909090909091,1.0,204337.384215248,24588.16103163626
zap-v1.21.0,rciw_median_p__median__ci_bootstrap_median_p,1650,0.4583333333333333,810,0.225,840,0.509090909090909,0.9090909090909091,1.0,1.0,1.0,0.0656688241639697,0.0112540192926045
zap-v1.21.0,rmad__median__ci_bootstrap_median_p,1650,0.4583333333333333,683,0.1897222222222222,967,0.5860606060606061,0.9090909090909091,0.9545454545454546,0.9545454545454546,1.0,0.1766450916936353,0.0620367386400257
