Project,Method,Max Time in s,Max Time in h,Min Time in s,Min Time in h,Time Saved,Time Saved %,Max Warmup in s,Max Warmup in h,Min Warmup in s,Min Warmup in h,Warmup Saved,Warmup Saved %,Fraction of leq 0.01 change,Fraction of leq 0.03 change,Fraction of leq 0.05 change,Fraction of leq 0.1 change,CI Lower Dev,CI Upper Dev
laaber_bytebuddy-01_10_07-jmh121,cv__mean__ci_bootstrap_mean_p,2340,0.65,1770,0.49166666666666664,570,0.24358974358974358,2340,0.65,2140,0.5944444444444444,-3010,0.24358974358974358,0.8205128205128205,0.8461538461538461,0.8461538461538461,0.9230769230769231,0.2577333850098262,0.1419836892878689
laaber_bytebuddy-01_10_07-jmh121,cv__median__ci_bootstrap_median_p,2340,0.65,1770,0.49166666666666664,570,0.24358974358974358,2340,0.65,2140,0.5944444444444444,-3010,0.24358974358974358,0.9487179487179487,0.9487179487179487,0.9743589743589743,1.0,0.2767804407991612,0.1556255566981063
laaber_bytebuddy-01_10_07-jmh121,rciw_mean_p__mean__ci_bootstrap_mean_p,2340,0.65,2010,0.5583333333333333,330,0.14102564102564102,2340,0.65,2260,0.6277777777777778,-3310,0.14102564102564102,0.9230769230769231,0.9487179487179487,0.9487179487179487,0.9743589743589743,0.2556875549036956,0.1442209017668156
laaber_bytebuddy-01_10_07-jmh121,rciw_mean_t__mean__ci_bootstrap_mean_t,2340,0.65,2270,0.6305555555555556,70,0.029914529914529916,2340,0.65,2320,0.6444444444444444,-3460,0.029914529914529916,1.0,1.0,1.0,1.0,0.012982134853401,0.0037660842337624
laaber_bytebuddy-01_10_07-jmh121,rciw_median_p__median__ci_bootstrap_median_p,2340,0.65,2010,0.5583333333333333,330,0.14102564102564102,2340,0.65,2260,0.6277777777777778,-3310,0.14102564102564102,0.9743589743589743,0.9743589743589743,0.9743589743589743,1.0,0.1658096254294693,0.0498403170131952
laaber_bytebuddy-01_10_07-jmh121,rmad__mean__ci_bootstrap_mean_p,2340,0.65,1036,0.28777777777777774,1304,0.5572649572649573,2340,0.65,1880,0.5222222222222223,-2360,0.5572649572649573,0.6410256410256411,0.6923076923076923,0.7948717948717948,0.8974358974358975,0.8215299885641352,0.3653441813982965
laaber_bytebuddy-01_10_07-jmh121,rmad__median__ci_bootstrap_median_p,2340,0.65,1036,0.28777777777777774,1304,0.5572649572649573,2340,0.65,1880,0.5222222222222223,-2360,0.5572649572649573,0.6923076923076923,0.7692307692307693,0.8974358974358975,0.9230769230769231,0.8704664459899598,0.4906499699772965
