Project,Statistic,p-Value
prometheus-v0.35.0,63.287690317589366,5.902744300192462e-13
prometheus-v0.36.0,10.661375675135636,0.03064520893379222
prometheus-v0.37.0,1.607235841750478,0.8074910422058786
prometheus-v0.38.0,0.36715212906580486,0.9850768251340526
prometheus-v0.39.0,7.355663059593555,0.11824495982294565
toml-v2.0.1,10.542748855688805,0.032213202651660854
toml-v2.0.2,2.295683444606708,0.6815550629232603
toml-v2.0.3,1.8404014529694468,0.7650829643804609
toml-v2.0.4,2.545200527763071,0.6365606382455906
toml-v2.0.5,3.756308644265937,0.4399892017736958
zap-v1.19.1,5.724690217614959,0.22067360520788537
zap-v1.20.0,2.5817088227070824,0.6300667215517437
zap-v1.21.0,0.39828589701530615,0.9826170018663538
zap-v1.22.0,1.6964830891473253,0.7913563761269347
zap-v1.23.0,5.071700986452819,0.2800193333068018
