Project,Statistic,p-Value
laaber_byte-buddy,13.343745721898859,0.03789064319087237
laaber_jctools,5.37755268647806,0.49637787210382844
laaber_jenetics,7.996811205939696,0.23833701788834882
laaber_jmh-core-benchmarks,24.311904738108765,0.00045756580150470115
laaber_jmh-jdk-microbenchmarks,338.5300608065298,4.470614496730224e-70
laaber_log4j2_filtered,194.644594102811,2.616871413397924e-39
laaber_protostuff,19.752983750941357,0.0030640617971827047
laaber_rxjava,463.0571181684291,7.591979451392968e-97
laaber_squidlib,54.11612454502467,6.989876855929192e-10
laaber_zipkin,22.74204486701819,0.0008876411128500816
