,Mean (CV),Median (CV),Mean (RCIW_1),Mean (RCIW_2),Median (RCIW_3),Mean (RMAD),Median (RMAD)
Mean (CV),0.0,0.03698224852071006,0.0,0.0,0.03698224852071006,0.0,0.03698224852071006
Median (CV),-0.03698224852071006,0.0,-0.03698224852071006,-0.03698224852071006,0.0,-0.03698224852071006,0.0
Mean (RCIW_1),0.0,0.03698224852071006,0.0,0.0,0.03698224852071006,0.0,0.03698224852071006
Mean (RCIW_2),0.0,0.03698224852071006,0.0,0.0,0.03698224852071006,0.0,0.03698224852071006
Median (RCIW_3),-0.03698224852071006,0.0,-0.03698224852071006,-0.03698224852071006,0.0,-0.03698224852071006,0.0
Mean (RMAD),0.0,0.03698224852071006,0.0,0.0,0.03698224852071006,0.0,0.03698224852071006
Median (RMAD),-0.03698224852071006,0.0,-0.03698224852071006,-0.03698224852071006,0.0,-0.03698224852071006,0.0
