m_id,n,ns_per_op,bed_setup,it_setup,sr_setup,ir_setup,bed_pos,it_pos,sr_pos,ir_pos,b_name
1,2203,501350.0,5,5,3,3,1,1,1,1,BenchmarkParseText
2,2373,495886.0,5,5,3,3,2,1,1,1,BenchmarkParseText
3,2368,495791.0,5,5,3,3,3,1,1,1,BenchmarkParseText
4,2299,495798.0,5,5,3,3,4,1,1,1,BenchmarkParseText
5,2276,494418.0,5,5,3,3,5,1,1,1,BenchmarkParseText
6,2283,495668.0,5,5,3,3,1,2,1,1,BenchmarkParseText
7,2290,494798.0,5,5,3,3,2,2,1,1,BenchmarkParseText
8,2301,500813.0,5,5,3,3,3,2,1,1,BenchmarkParseText
9,2257,494860.0,5,5,3,3,4,2,1,1,BenchmarkParseText
10,2314,494239.0,5,5,3,3,5,2,1,1,BenchmarkParseText
11,2365,497623.0,5,5,3,3,1,3,1,1,BenchmarkParseText
12,2310,494615.0,5,5,3,3,2,3,1,1,BenchmarkParseText
13,2272,497298.0,5,5,3,3,3,3,1,1,BenchmarkParseText
14,2346,495188.0,5,5,3,3,4,3,1,1,BenchmarkParseText
15,2313,495649.0,5,5,3,3,5,3,1,1,BenchmarkParseText
16,2340,495408.0,5,5,3,3,1,4,1,1,BenchmarkParseText
17,2317,496570.0,5,5,3,3,2,4,1,1,BenchmarkParseText
18,2340,494720.0,5,5,3,3,3,4,1,1,BenchmarkParseText
19,2384,506933.0,5,5,3,3,4,4,1,1,BenchmarkParseText
20,2292,496644.0,5,5,3,3,5,4,1,1,BenchmarkParseText
21,2274,499927.0,5,5,3,3,1,5,1,1,BenchmarkParseText
22,2324,497025.0,5,5,3,3,2,5,1,1,BenchmarkParseText
23,2287,495626.0,5,5,3,3,3,5,1,1,BenchmarkParseText
24,2320,494186.0,5,5,3,3,4,5,1,1,BenchmarkParseText
25,2335,497141.0,5,5,3,3,5,5,1,1,BenchmarkParseText
26,2331,494062.0,5,5,3,3,1,1,2,1,BenchmarkParseText
27,2317,495561.0,5,5,3,3,2,1,2,1,BenchmarkParseText
28,2355,494800.0,5,5,3,3,3,1,2,1,BenchmarkParseText
29,2296,496132.0,5,5,3,3,4,1,2,1,BenchmarkParseText
30,2314,495833.0,5,5,3,3,5,1,2,1,BenchmarkParseText
31,2367,496109.0,5,5,3,3,1,2,2,1,BenchmarkParseText
32,2282,495767.0,5,5,3,3,2,2,2,1,BenchmarkParseText
33,2311,495628.0,5,5,3,3,3,2,2,1,BenchmarkParseText
34,2367,493384.0,5,5,3,3,4,2,2,1,BenchmarkParseText
35,2318,498882.0,5,5,3,3,5,2,2,1,BenchmarkParseText
36,2308,494560.0,5,5,3,3,1,3,2,1,BenchmarkParseText
