Project,Statistic,p-Value
laaber_byte-buddy,2.4541766205638216,0.6528595425857042
laaber_jctools,3.776860494389759,0.4370458979797649
laaber_jenetics,1.4367132335713915,0.8377896384999306
laaber_jmh-core-benchmarks,6.020318319622116,0.1976360188689347
laaber_jmh-jdk-microbenchmarks,95.33528124644509,9.670457139158943e-20
laaber_log4j2,25.10684433974875,4.7881416383197105e-05
laaber_protostuff,8.068123488255308,0.08911437855312178
laaber_rxjava,78.88318399466233,3.0030494353340124e-16
laaber_squidlib,12.539185697009938,0.013761333183149392
laaber_zipkin,1.8491246025392873,0.7634835230658938
