,Mean (CV),Median (CV),Mean (RCIW_1),Mean (RCIW_2),Median (RCIW_3),Mean (RMAD),Median (RMAD)
Mean (CV),0.0,-0.12,-0.105,-0.3,-0.215,0.13,0.005
Median (CV),0.12,0.0,0.0,-0.2,-0.115,0.28,0.155
Mean (RCIW_1),0.105,0.0,0.0,-0.2,-0.105,0.235,0.125
Mean (RCIW_2),0.3,0.2,0.2,0.0,0.1,0.4,0.3
Median (RCIW_3),0.215,0.115,0.105,-0.1,0.0,0.345,0.245
Mean (RMAD),-0.13,-0.28,-0.235,-0.4,-0.345,0.0,-0.16
Median (RMAD),-0.005,-0.155,-0.125,-0.3,-0.245,0.16,0.0
