m_id,n,ns_per_op,bed_setup,it_setup,sr_setup,ir_setup,bed_pos,it_pos,sr_pos,ir_pos,b_name
1,95905452,12.12,5,5,3,3,1,1,1,1,BenchmarkBuffers/ByteSlice
2,98523242,12.1,5,5,3,3,2,1,1,1,BenchmarkBuffers/ByteSlice
3,84704337,12.09,5,5,3,3,3,1,1,1,BenchmarkBuffers/ByteSlice
4,85752567,12.12,5,5,3,3,4,1,1,1,BenchmarkBuffers/ByteSlice
5,87217725,12.1,5,5,3,3,5,1,1,1,BenchmarkBuffers/ByteSlice
6,86213108,12.11,5,5,3,3,1,2,1,1,BenchmarkBuffers/ByteSlice
7,98604669,12.11,5,5,3,3,2,2,1,1,BenchmarkBuffers/ByteSlice
8,90001062,12.09,5,5,3,3,3,2,1,1,BenchmarkBuffers/ByteSlice
9,98210392,12.09,5,5,3,3,4,2,1,1,BenchmarkBuffers/ByteSlice
10,89399012,12.13,5,5,3,3,5,2,1,1,BenchmarkBuffers/ByteSlice
11,85643874,12.12,5,5,3,3,1,3,1,1,BenchmarkBuffers/ByteSlice
12,89144157,12.08,5,5,3,3,2,3,1,1,BenchmarkBuffers/ByteSlice
13,86948979,12.1,5,5,3,3,3,3,1,1,BenchmarkBuffers/ByteSlice
14,87793344,12.1,5,5,3,3,4,3,1,1,BenchmarkBuffers/ByteSlice
15,90072900,12.12,5,5,3,3,5,3,1,1,BenchmarkBuffers/ByteSlice
16,88726761,12.1,5,5,3,3,1,4,1,1,BenchmarkBuffers/ByteSlice
17,97028792,12.12,5,5,3,3,2,4,1,1,BenchmarkBuffers/ByteSlice
18,99197221,12.1,5,5,3,3,3,4,1,1,BenchmarkBuffers/ByteSlice
19,85706601,12.16,5,5,3,3,4,4,1,1,BenchmarkBuffers/ByteSlice
20,84144108,12.12,5,5,3,3,5,4,1,1,BenchmarkBuffers/ByteSlice
21,87969321,12.11,5,5,3,3,1,5,1,1,BenchmarkBuffers/ByteSlice
22,86718354,12.14,5,5,3,3,2,5,1,1,BenchmarkBuffers/ByteSlice
23,86019692,12.13,5,5,3,3,3,5,1,1,BenchmarkBuffers/ByteSlice
24,87999112,12.1,5,5,3,3,4,5,1,1,BenchmarkBuffers/ByteSlice
25,97725734,12.12,5,5,3,3,5,5,1,1,BenchmarkBuffers/ByteSlice
26,85893631,12.11,5,5,3,3,1,1,2,1,BenchmarkBuffers/ByteSlice
27,89584723,12.12,5,5,3,3,2,1,2,1,BenchmarkBuffers/ByteSlice
28,88883503,12.1,5,5,3,3,3,1,2,1,BenchmarkBuffers/ByteSlice
29,88037436,12.11,5,5,3,3,4,1,2,1,BenchmarkBuffers/ByteSlice
30,98747072,12.1,5,5,3,3,5,1,2,1,BenchmarkBuffers/ByteSlice
31,87984092,12.12,5,5,3,3,1,2,2,1,BenchmarkBuffers/ByteSlice
32,87116911,12.12,5,5,3,3,2,2,2,1,BenchmarkBuffers/ByteSlice
33,96541053,12.1,5,5,3,3,3,2,2,1,BenchmarkBuffers/ByteSlice
34,86253076,12.12,5,5,3,3,4,2,2,1,BenchmarkBuffers/ByteSlice
35,98683861,12.11,5,5,3,3,5,2,2,1,BenchmarkBuffers/ByteSlice
