Project,Method,Max Time in s,Max Time in h,Min Time in s,Min Time in h,Time Saved,Time Saved %,Fraction of leq 0.01 change,Fraction of leq 0.03 change,Fraction of leq 0.05 change,Fraction of leq 0.1 change,CI Lower Dev,CI Upper Dev
prometheus-v0.36.0,cv__mean__ci_bootstrap_mean_p,2325,0.6458333333333334,884,0.24555555555555555,1441,0.6197849462365591,0.967741935483871,0.967741935483871,0.967741935483871,1.0,0.079814990512334,0.1593564691022383
prometheus-v0.36.0,rciw_mean_p__mean__ci_bootstrap_mean_p,2325,0.6458333333333334,1109,0.3080555555555556,1216,0.5230107526881721,1.0,1.0,1.0,1.0,0.0134831691271116,0.0036378321569441
prometheus-v0.36.0,rciw_mean_t__mean__ci_bootstrap_mean_t,2325,0.6458333333333334,761,0.2113888888888889,1564,0.6726881720430108,0.967741935483871,1.0,1.0,1.0,807605.0801066224,3617.418161033848
prometheus-v0.36.0,rciw_median_p__median__ci_bootstrap_median_p,2325,0.6458333333333334,871,0.24194444444444446,1454,0.6253763440860215,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.4644351464435144,0.0422885572139303
prometheus-v0.36.0,rmad__median__ci_bootstrap_median_p,2325,0.6458333333333334,1020,0.2833333333333333,1305,0.5612903225806452,1.0,1.0,1.0,1.0,0.0125899280575538,0.0031698365031698
