,Mean (CV),Mean (RCIW_1),Mean (RCIW_2),Median (RCIW_3),Median (RMAD)
Mean (CV),0.0,0.0,0.0,-0.19667013527575442,-0.19667013527575442
Mean (RCIW_1),0.0,0.0,0.0,-0.19667013527575442,-0.19667013527575442
Mean (RCIW_2),0.0,0.0,0.0,-0.19667013527575442,-0.19667013527575442
Median (RCIW_3),0.19667013527575442,0.19667013527575442,0.19667013527575442,0.0,0.0
Median (RMAD),0.19667013527575442,0.19667013527575442,0.19667013527575442,0.0,0.0
