m_id,n,ns_per_op,it_pos,fork_pos,b_name
51,32933.0,429.6057753620988,12,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput
52,32894.0,435.9026266188363,13,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput
53,32809.0,363.3051906489073,14,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput
54,32774.0,351.2415329224385,15,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput
55,32769.0,337.97235191797125,16,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput
56,25177.0,384.6859435198792,17,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput
57,30364.0,32612.596759320248,18,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput
58,32767.0,445.4716635639516,19,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput
59,32803.0,340.4616955766241,20,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput
60,33860.0,32.3129651506202,1,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
61,33850.0,32.33069423929099,2,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
62,33858.0,32.46172248803828,3,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
63,33856.0,32.35202032136106,4,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
64,33856.0,32.25327859168242,5,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
65,33847.0,32.42830974680179,6,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
66,32116.0,36.14086436667082,7,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
67,32109.0,35.79912174156779,8,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
68,32115.0,35.99573408064767,9,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
69,32119.0,36.17805660201127,10,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
70,32102.0,36.09164538035014,11,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
71,32110.0,35.91778262223606,12,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
72,32098.0,35.88148794317403,13,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
73,32121.0,36.20173718128327,14,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
74,32090.0,35.563166095356806,15,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
75,32109.0,36.013921330468094,16,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
76,32112.0,38.05792227204783,17,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
77,32102.0,35.687059996261915,18,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
78,32100.0,35.57411214953271,19,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
79,32767.0,35.78344065675832,20,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputBaseline
80,18786.0,6378.061961034813,1,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.latency
81,29352.0,4229.047288089398,2,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.latency
82,23137.0,5154.748541297489,3,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.latency
83,34453.0,6814.324964444316,4,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.latency
84,17587.0,7388.793654403821,5,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.latency
