m_id,n,ns_per_op,it_pos,fork_pos,b_name
50,6.0,171660629.33333334,11,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_jdk
51,6.0,168034304.0,12,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_jdk
52,6.0,170393600.0,13,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_jdk
53,6.0,172709205.33333334,14,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_jdk
54,6.0,188568917.3333333,15,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_jdk
55,5.0,204210176.0,16,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_jdk
56,6.0,179000661.33333334,17,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_jdk
57,6.0,177427797.33333334,18,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_jdk
58,7.0,165038372.57142857,19,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_jdk
59,6.0,166636202.66666666,20,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_jdk
60,1.0,1073741824.0,1,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
61,2.0,994050048.0,2,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
62,1.0,1176502272.0,3,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
63,1.0,1017118720.0,4,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
64,2.0,953679872.0,5,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
65,2.0,886571008.0,6,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
66,1.0,1028653056.0,7,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
67,2.0,916455424.0,8,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
68,1.0,1186988032.0,9,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
69,1.0,1060110336.0,10,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
70,2.0,979369984.0,11,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
71,1.0,1048576000.0,12,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
72,2.0,1003487232.0,13,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
73,2.0,893386752.0,14,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
74,1.0,1003487232.0,15,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
75,2.0,863502336.0,16,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
76,2.0,938999808.0,17,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
77,2.0,907018240.0,18,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
78,2.0,913309696.0,19,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
79,1.0,1149239296.0,20,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec
80,3.0,333097642.6666667,1,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
81,4.0,341704704.0,2,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
82,4.0,326369280.0,3,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
83,4.0,329252864.0,4,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
84,4.0,336330752.0,5,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
85,4.0,293208064.0,6,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
86,4.0,293994496.0,7,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
87,4.0,286982144.0,8,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
88,4.0,295698432.0,9,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
89,4.0,295960576.0,10,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
90,4.0,295698432.0,11,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
91,4.0,295567360.0,12,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
92,4.0,296484864.0,13,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
93,4.0,329383936.0,14,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
94,4.0,326762496.0,15,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
95,4.0,326500352.0,16,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
96,4.0,327811072.0,17,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
97,4.0,325582848.0,18,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
98,4.0,305004544.0,19,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
99,4.0,317849600.0,20,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec
100,4.0,310509568.0,1,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
101,4.0,306184192.0,2,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
102,4.0,297271296.0,3,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
103,4.0,296353792.0,4,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
104,4.0,297926656.0,5,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
105,4.0,297140224.0,6,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
106,4.0,297926656.0,7,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
107,4.0,293076992.0,8,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
108,4.0,319029248.0,9,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
109,4.0,317456384.0,10,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
110,4.0,317456384.0,11,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
111,4.0,317325312.0,12,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
112,4.0,303300608.0,13,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
113,3.0,335020032.0,14,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
114,4.0,332136448.0,15,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
115,3.0,334670506.6666667,16,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
116,4.0,331350016.0,17,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
117,3.0,333097642.6666667,18,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
118,3.0,348826282.6666667,19,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
119,4.0,321126400.0,20,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec
120,4.0,303562752.0,1,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
121,4.0,305659904.0,2,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
122,4.0,306839552.0,3,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
123,4.0,304611328.0,4,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
124,4.0,302252032.0,5,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
125,4.0,303824896.0,6,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
126,4.0,305004544.0,7,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
127,4.0,297402368.0,8,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
128,4.0,297795584.0,9,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
129,4.0,298713088.0,10,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
130,4.0,297926656.0,11,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
131,4.0,300548096.0,12,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
132,4.0,296484864.0,13,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
133,4.0,296484864.0,14,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
134,4.0,296222720.0,15,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
135,4.0,296747008.0,16,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
136,4.0,296615936.0,17,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
137,4.0,296615936.0,18,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
138,4.0,296615936.0,19,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
139,4.0,284884992.0,20,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk
140,3.0,355117738.6666667,1,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
141,3.0,356341077.3333333,2,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
142,4.0,322174976.0,3,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
143,4.0,306315264.0,4,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
144,4.0,307101696.0,5,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
145,4.0,306839552.0,6,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
146,4.0,306577408.0,7,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
147,4.0,307101696.0,8,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
148,4.0,320733184.0,9,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
149,3.0,354593450.6666667,10,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
150,3.0,351098197.3333333,11,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
151,3.0,354593450.6666667,12,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
152,3.0,356341077.3333333,13,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
153,3.0,359661568.0,14,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
154,3.0,349350570.6666667,15,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
155,3.0,347777706.6666667,16,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
156,3.0,346554368.0,17,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
157,3.0,350399146.6666667,18,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
158,3.0,346729130.6666667,19,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
159,3.0,346204842.6666667,20,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec
160,10.0,103900774.4,1,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
161,10.0,102419660.8,2,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
162,10.0,104346419.2,3,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
163,9.0,115925902.22222222,4,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
164,10.0,104923136.0,5,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
165,10.0,104713420.8,6,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
166,11.0,98113349.8181818,7,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
167,10.0,102681804.8,8,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
168,10.0,104490598.4,9,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
169,11.0,100258164.36363636,10,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
170,10.0,103704166.4,11,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
171,10.0,107937792.0,12,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
172,10.0,107911577.6,13,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
173,10.0,109812121.6,14,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
174,9.0,114454983.1111111,15,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
175,9.0,116493880.8888889,16,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
176,9.0,116086101.33333331,17,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
177,10.0,100296294.4,18,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
178,10.0,107531468.8,19,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
179,11.0,99018938.1818182,20,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec
180,12.0,89795242.66666667,1,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_lazy_ec
181,11.0,95587234.9090909,2,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_lazy_ec
182,11.0,92667904.0,3,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_lazy_ec
183,11.0,93025373.0909091,4,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_lazy_ec
184,11.0,96719220.36363636,5,1,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_lazy_ec
