,Mean (CV),Mean (RCIW_1),Mean (RCIW_2),Median (RCIW_3),Median (RMAD)
Mean (CV),0.0,-0.040625,0.11,0.04375,-0.24625
Mean (RCIW_1),0.040625,0.0,0.160625,0.101875,-0.25875
Mean (RCIW_2),-0.11,-0.160625,0.0,-0.065,-0.37
Median (RCIW_3),-0.04375,-0.101875,0.065,0.0,-0.319375
Median (RMAD),0.24625,0.25875,0.37,0.319375,0.0
