Project,Statistic,p-Value
prometheus-v0.35.0,62.094391927239684,1.052359559391163e-12
prometheus-v0.36.0,5.972623281877629,0.20120213322030892
prometheus-v0.37.0,0.3374401406592221,0.9872708326801172
prometheus-v0.38.0,0.10100307437276912,0.9987669282641701
prometheus-v0.39.0,4.2900485370642425,0.3681728824493501
toml-v2.0.1,0.5752611309073674,0.9657726668601156
toml-v2.0.2,0.12701004211196276,0.9980669266448533
toml-v2.0.3,4.379205980018166,0.3571117448127867
toml-v2.0.4,0.5211550124065177,0.971409128368617
toml-v2.0.5,0.4209602666857933,0.9807251342500641
zap-v1.19.1,1.8342674880807623,0.7662073032010951
zap-v1.20.0,1.2885550209020438,0.8633143288750635
zap-v1.21.0,0.3432694992797452,0.9868524401475134
zap-v1.22.0,0.9776193680864227,0.9131704230309291
zap-v1.23.0,0.0005892789950966154,0.9999999566023084
