m_id,n,ns_per_op,bed_setup,it_setup,sr_setup,ir_setup,bed_pos,it_pos,sr_pos,ir_pos,b_name
1,516,2321388.0,5,5,3,3,1,1,1,1,BenchmarkScanComments/1MValidUtf8
2,517,2314407.0,5,5,3,3,2,1,1,1,BenchmarkScanComments/1MValidUtf8
3,516,2320151.0,5,5,3,3,3,1,1,1,BenchmarkScanComments/1MValidUtf8
4,517,2318523.0,5,5,3,3,4,1,1,1,BenchmarkScanComments/1MValidUtf8
5,516,2321714.0,5,5,3,3,5,1,1,1,BenchmarkScanComments/1MValidUtf8
6,516,2317303.0,5,5,3,3,1,2,1,1,BenchmarkScanComments/1MValidUtf8
7,516,2318578.0,5,5,3,3,2,2,1,1,BenchmarkScanComments/1MValidUtf8
8,517,2319864.0,5,5,3,3,3,2,1,1,BenchmarkScanComments/1MValidUtf8
9,517,2316738.0,5,5,3,3,4,2,1,1,BenchmarkScanComments/1MValidUtf8
10,518,2315816.0,5,5,3,3,5,2,1,1,BenchmarkScanComments/1MValidUtf8
11,516,2320665.0,5,5,3,3,1,3,1,1,BenchmarkScanComments/1MValidUtf8
12,514,2317032.0,5,5,3,3,2,3,1,1,BenchmarkScanComments/1MValidUtf8
13,517,2318834.0,5,5,3,3,3,3,1,1,BenchmarkScanComments/1MValidUtf8
14,512,2317567.0,5,5,3,3,4,3,1,1,BenchmarkScanComments/1MValidUtf8
15,516,2322231.0,5,5,3,3,5,3,1,1,BenchmarkScanComments/1MValidUtf8
16,516,2317142.0,5,5,3,3,1,4,1,1,BenchmarkScanComments/1MValidUtf8
17,517,2315917.0,5,5,3,3,2,4,1,1,BenchmarkScanComments/1MValidUtf8
18,516,2320026.0,5,5,3,3,3,4,1,1,BenchmarkScanComments/1MValidUtf8
19,516,2320024.0,5,5,3,3,4,4,1,1,BenchmarkScanComments/1MValidUtf8
20,518,2321564.0,5,5,3,3,5,4,1,1,BenchmarkScanComments/1MValidUtf8
21,517,2317823.0,5,5,3,3,1,5,1,1,BenchmarkScanComments/1MValidUtf8
22,517,2316838.0,5,5,3,3,2,5,1,1,BenchmarkScanComments/1MValidUtf8
23,517,2320599.0,5,5,3,3,3,5,1,1,BenchmarkScanComments/1MValidUtf8
24,517,2317623.0,5,5,3,3,4,5,1,1,BenchmarkScanComments/1MValidUtf8
25,517,2321042.0,5,5,3,3,5,5,1,1,BenchmarkScanComments/1MValidUtf8
26,516,2319678.0,5,5,3,3,1,1,2,1,BenchmarkScanComments/1MValidUtf8
27,516,2316218.0,5,5,3,3,2,1,2,1,BenchmarkScanComments/1MValidUtf8
