Project,Statistic,p-Value
laaber_byte-buddy,6.629063739458073,0.3565164040150132
laaber_jctools,23.3704792277302,0.0006814324642995261
laaber_jenetics,18.60530330284375,0.004884837700111525
laaber_jmh-core-benchmarks,23.012450197086125,0.0007923194155912252
laaber_jmh-jdk-microbenchmarks,194.4910890522457,2.8212225544627522e-39
laaber_log4j2_filtered,475.132093951384,1.9079703202418742e-99
laaber_protostuff,10.656927328705,0.09957607539479797
laaber_rxjava,108.26633630849365,4.701132999090473e-21
laaber_squidlib,113.80013643311767,3.258907517722725e-22
laaber_zipkin,7.895917604312574,0.24582828036341325
