Project,Method,Max Time in s,Max Time in h,Min Time in s,Min Time in h,Time Saved,Time Saved %,Fraction of leq 0.01 change,Fraction of leq 0.03 change,Fraction of leq 0.05 change,Fraction of leq 0.1 change,CI Lower Dev,CI Upper Dev
laaber_xodus-01_00_05-jmh121,cv__mean__ci_bootstrap_mean_p,5640,1.5666666666666667,4339,1.2052777777777777,1301,0.23067375886524824,0.7021276595744681,0.8297872340425532,0.9361702127659575,0.9574468085106383,0.3510123113141333,0.0831471453200298
laaber_xodus-01_00_05-jmh121,cv__median__ci_bootstrap_median_p,5640,1.5666666666666667,4339,1.2052777777777777,1301,0.23067375886524824,0.7659574468085106,0.8723404255319149,0.9574468085106383,1.0,0.0391935479547318,0.0782155412319359
laaber_xodus-01_00_05-jmh121,rciw_mean_p__mean__ci_bootstrap_mean_p,5640,1.5666666666666667,4874,1.353888888888889,766,0.13581560283687943,0.851063829787234,0.9148936170212766,0.9787234042553191,0.9787234042553191,0.3447961090798236,0.0837207926506051
laaber_xodus-01_00_05-jmh121,rciw_mean_t__mean__ci_bootstrap_mean_t,5640,1.5666666666666667,5214,1.4483333333333335,426,0.07553191489361702,0.9361702127659575,0.9574468085106383,1.0,1.0,0.041634134300639,0.043638106256503
laaber_xodus-01_00_05-jmh121,rciw_median_p__median__ci_bootstrap_median_p,5640,1.5666666666666667,4874,1.353888888888889,766,0.13581560283687943,0.8723404255319149,0.9148936170212766,0.9787234042553191,1.0,0.0380758389060809,0.0760400889146952
laaber_xodus-01_00_05-jmh121,rmad__mean__ci_bootstrap_mean_p,5640,1.5666666666666667,3362,0.9338888888888889,2278,0.40390070921985816,0.3404255319148936,0.6170212765957447,0.7446808510638298,0.8936170212765957,0.4766698405501971,0.2297023962857177
laaber_xodus-01_00_05-jmh121,rmad__median__ci_bootstrap_median_p,5640,1.5666666666666667,3362,0.9338888888888889,2278,0.40390070921985816,0.48936170212765956,0.6595744680851063,0.851063829787234,0.9361702127659575,0.5656968177294338,0.2723857232310582
